,situation_id,overallseverity,situationversiontime,confidentiality,informationstatus,situationrecordcreationreference,situationrecordcreationtime,situationrecordfirstsupplierversiontime,probabilityofoccurrence,value,validitystatus,overallstarttime,latitude,longitude,alertclocationcountrycode,alertclocationtablenumber,alertclocationtableversion,alertcdirectioncoded,specificlocation,offsetdistance,alertcmethod4secondarypointlocation,safetyrelatedmessage,mobilitytype,vehicleobstructiontype,accidenttype,alertcpoint,pointbycoordinates
10,RWS03_956983,unknown,2020-12-17 15:51:54+00:00,noRestriction,real,LCM-LCM20168492_IM_1,2020-12-17 15:51:54+00:00,2020-12-17 15:51:54+00:00,certain,VC Noord-en Oost Nederland,active,2020-12-17 15:51:28+00:00,52.33029,5.614684,8.0,5.21,A,positive,8513.0,34400.0,8478.0,true,stationary,brokenDownVehicle,nan,,
11,RWS03_956984,unknown,2020-12-17 15:55:35+00:00,noRestriction,real,LCM-LCM20168494_IM_1,2020-12-17 15:55:35+00:00,2020-12-17 15:55:35+00:00,certain,VC Zuid-Nederland,active,2020-12-17 15:54:48+00:00,51.78991,4.929431,8.0,5.21,A,positive,8316.0,1600.0,8315.0,true,stationary,brokenDownVehicle,nan,,
12,RWS03_956985,unknown,2020-12-17 15:55:56+00:00,noRestriction,real,LCM-LCM20168495_IM_1,2020-12-17 15:55:56+00:00,2020-12-17 15:55:55+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 15:55:13+00:00,51.8907356,4.56171942,8.0,5.21,A,positive,7627.0,2200.0,7625.0,true,stationary,brokenDownVehicle,nan,,
13,RWS03_956986,unknown,2020-12-17 15:56:37+00:00,noRestriction,real,LCM-LCM20168493_IM_1,2020-12-17 15:56:37+00:00,2020-12-17 15:56:36+00:00,certain,SOS International,active,2020-12-17 15:53:32+00:00,51.9462166,4.356044,8.0,5.21,A,negative,22287.0,2100.0,22288.0,true,stationary,brokenDownVehicle,nan,,
14,RWS03_956987,unknown,2020-12-17 15:56:48+00:00,noRestriction,real,LCM-LCM20168496_IM_1,2020-12-17 15:56:48+00:00,2020-12-17 15:56:47+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 15:56:15+00:00,51.9188576,4.36623335,8.0,5.21,A,negative,9155.0,1200.0,9158.0,true,nan,nan,accident,,
15,RWS03_956988,unknown,2020-12-17 15:58:29+00:00,noRestriction,real,LCM-LCM20168499_IM_1,2020-12-17 15:58:29+00:00,2020-12-17 15:58:28+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 15:57:57+00:00,51.9535828,4.35061,8.0,5.21,A,negative,22288.0,300.0,9190.0,true,stationary,brokenDownVehicle,nan,,
16,RWS03_956989,unknown,2020-12-17 16:01:30+00:00,noRestriction,real,LCM-LCM20168503_IM_1,2020-12-17 16:01:30+00:00,2020-12-17 16:01:29+00:00,certain,VC Noordwest-Nederland,active,2020-12-17 16:00:53+00:00,52.33728,4.989944,8.0,5.21,A,negative,7004.0,500.0,,true,stationary,brokenDownVehicle,nan,8.0,52.33728
17,RWS03_956980,unknown,2020-12-17 15:48:32+00:00,noRestriction,real,LCM-LCM20168489_IM_1,2020-12-17 15:48:32+00:00,2020-12-17 15:48:31+00:00,certain,ANWB Den Haag,active,2020-12-17 15:46:53+00:00,52.33103,5.01723957,8.0,5.21,A,positive,10566.0,7100.0,10561.0,true,stationary,brokenDownVehicle,nan,,
18,RWS03_956981,unknown,2020-12-17 15:48:43+00:00,noRestriction,real,LCM-LCM20168490_IM_1,2020-12-17 15:48:43+00:00,2020-12-17 15:48:42+00:00,certain,VC Zuid-Nederland,active,2020-12-17 15:48:00+00:00,51.3766365,5.332872,8.0,5.21,A,negative,10019.0,1500.0,21883.0,true,stationary,brokenDownVehicle,nan,,
19,RWS03_956982,unknown,2020-12-17 15:49:24+00:00,noRestriction,real,LCM-LCM20168491_IM_1,2020-12-17 15:49:24+00:00,2020-12-17 15:49:23+00:00,certain,VC Midden-Nederland,active,2020-12-17 15:49:01+00:00,52.0681534,5.14810133,8.0,5.21,A,positive,8353.0,4000.0,8347.0,true,nan,nan,accident,,
20,RWS03_956554,unknown,2020-12-16 13:06:03+00:00,noRestriction,real,EUX-CMVCNL4474496_1,2020-12-16 13:06:03+00:00,2020-12-16 13:05:55+00:00,certain,CMV berger,active,2020-12-16 13:02:18+00:00,52.2845125416,6.5568907842,8.0,5.21,A,negative,14189.0,100.0,,nan,stationary,nan,nan,8.0,52.2845125416
21,RWS03_957005,unknown,2020-12-17 16:28:42+00:00,noRestriction,real,LCM-LCM20168523_IM_1,2020-12-17 16:28:42+00:00,2020-12-17 16:28:41+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 16:28:04+00:00,52.08397,4.412724,8.0,5.21,A,negative,9205.0,2100.0,9208.0,true,stationary,brokenDownVehicle,nan,,
22,RWS03_957006,unknown,2020-12-17 16:30:43+00:00,noRestriction,real,LCM-LCM20168524_IM_1,2020-12-17 16:30:43+00:00,2020-12-17 16:30:42+00:00,certain,EDO,active,2020-12-17 16:30:37+00:00,51.8681374,4.30089474,8.0,5.21,A,positive,7433.0,900.0,,true,nan,nan,accident,8.0,51.8681374
23,RWS03_957007,unknown,2020-12-17 16:34:54+00:00,noRestriction,real,LCM-LCM20168526_IM_1,2020-12-17 16:34:54+00:00,2020-12-17 16:34:54+00:00,certain,VC Midden-Nederland,active,2020-12-17 16:34:44+00:00,52.0828056,5.07629,8.0,5.21,A,positive,8004.0,25600.0,7988.0,true,stationary,brokenDownVehicle,nan,,
24,RWS03_957008,unknown,2020-12-17 16:36:25+00:00,noRestriction,real,LCM-LCM20168527_IM_1,2020-12-17 16:36:25+00:00,2020-12-17 16:36:24+00:00,certain,VC Midden-Nederland,active,2020-12-17 16:36:03+00:00,52.0573235,5.14754963,8.0,5.21,A,positive,7293.0,1100.0,,true,stationary,brokenDownVehicle,nan,8.0,52.0573235
25,RWS03_957009,unknown,2020-12-17 16:36:36+00:00,noRestriction,real,LCM-LCM20168525_IM_1,2020-12-17 16:36:36+00:00,2020-12-17 16:36:35+00:00,certain,VC Noordwest-Nederland,active,2020-12-17 16:34:19+00:00,52.33771,4.891047,8.0,5.21,A,positive,7201.0,3200.0,7193.0,true,stationary,brokenDownVehicle,nan,,
26,RWS03_957000,unknown,2020-12-17 16:19:37+00:00,noRestriction,real,LCM-LCM20168517_IM_1,2020-12-17 16:19:37+00:00,2020-12-17 16:19:37+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 16:18:18+00:00,51.8746147,4.570794,8.0,5.21,A,negative,7448.0,1300.0,,true,stationary,brokenDownVehicle,nan,8.0,51.8746147
27,RWS03_957001,unknown,2020-12-17 16:21:18+00:00,noRestriction,real,LCM-LCM20168518_IM_1,2020-12-17 16:21:18+00:00,2020-12-17 16:21:18+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 16:20:25+00:00,52.0653343,4.79407549,8.0,5.21,A,negative,7276.0,4000.0,7277.0,true,stationary,brokenDownVehicle,nan,,
28,RWS03_957002,unknown,2020-12-17 16:26:30+00:00,noRestriction,real,LCM-LCM20168520_IM_1,2020-12-17 16:26:30+00:00,2020-12-17 16:26:29+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 16:26:01+00:00,51.94707,4.511828,8.0,5.21,A,negative,8099.0,2300.0,8101.0,true,stationary,brokenDownVehicle,nan,,
